Strategy,N_Train,Batch_Size,Repetition,Epochs_Run,Train_Time_s,Time_per_Epoch_s,MAE_Energy,MAE_Force
classic,100,16,1,102,53.7,0.5265,4.59766012802124,20.82859209449405
classic,100,16,2,134,71.07,0.5304,4.590803715515137,20.29139773685516
classic,100,16,3,93,49.58,0.5331,4.609166059875489,20.833184182787697
classic,100,16,4,100,52.96,0.5296,4.626898711395263,20.834558234126984
classic,100,16,5,88,46.98,0.5338,4.664311965942383,20.860771781994046
classic,100,16,6,113,59.28,0.5246,4.430681650924683,20.358400787450396
classic,100,16,7,93,48.95,0.5263,4.589324782562256,20.806513030133928
auto-diff,100,16,1,716,732.03,1.0224,0.7089895069599151,1.7075852199978299
auto-diff,100,16,2,717,734.55,1.0245,0.8353806663513184,1.711199824451265
auto-diff,100,16,3,672,685.03,1.0194,0.7892825881004334,1.767279875062004
auto-diff,100,16,4,782,799.77,1.0227,0.693878627204895,1.7310826720222594
auto-diff,100,16,5,538,549.14,1.0207,1.4786608625411988,1.7668647427997892
auto-diff,100,16,6,732,747.59,1.0213,0.6918314030647278,1.734791037907676
auto-diff,100,16,7,845,863.62,1.022,0.6675314172744751,1.7362646616133433
gradient,100,16,1,630,639.61,1.0153,0.722770263671875,1.685656451512897
gradient,100,16,2,663,672.06,1.0137,0.9618195289611816,1.7053424114893354
gradient,100,16,3,514,518.23,1.0082,1.0154506107330323,1.7523378865559895
gradient,100,16,4,659,668.89,1.015,0.8917476974487305,1.7166986031668527
gradient,100,16,5,696,706.0,1.0144,0.7882369232177734,1.7252219205341641
gradient,100,16,6,647,657.11,1.0156,0.9088845596313476,1.6820863558330232
gradient,100,16,7,805,817.25,1.0152,0.8175552772521972,1.6870935765826514
classic,500,32,1,235,114.64,0.4878,3.24246806678772,16.710895014880954
classic,500,32,2,282,137.71,0.4883,3.2237175788879395,16.705581473214284
classic,500,32,3,208,100.97,0.4854,3.389441394805908,17.62172081783234
classic,500,32,4,204,99.22,0.4864,3.05511180973053,16.208397061011905
classic,500,32,5,192,94.17,0.4905,3.5468413312911986,17.709182015749008
classic,500,32,6,422,208.2,0.4934,3.2269124797821043,16.77744269283234
classic,500,32,7,312,152.71,0.4895,3.216532950592041,16.71664575892857
auto-diff,500,32,1,1044,1160.05,1.1112,0.46015400094985964,1.003208547828311
auto-diff,500,32,2,969,1072.66,1.107,0.46415791139602663,1.033366483173673
auto-diff,500,32,3,901,997.33,1.1069,0.4584200973510742,1.0277339891221788
auto-diff,500,32,4,1309,1442.86,1.1023,0.45579777522087095,1.024201413109189
