Strategy,N_Train,Batch_Size,Repetition,Epochs_Run,Train_Time_s,Time_per_Epoch_s,MAE_Energy,MAE_Force
classic,100,16,1,1074,403.14,0.3754,1.2339965215682984,12.042810404459635
classic,100,16,2,2891,1238.69,0.4285,0.7719210683822632,8.256832341851128
classic,100,16,3,1202,543.75,0.4524,0.9892213196754456,10.421546945529514
classic,100,16,4,1279,577.54,0.4516,0.8616944216728211,8.761576346842448
classic,100,16,5,883,401.13,0.4543,0.8257775323867798,8.827165534125434
classic,100,16,6,551,248.69,0.4513,1.3782854948043823,12.336762128363715
classic,100,16,7,137,61.99,0.4525,1.6092961010932922,13.482099768066407
auto-diff,100,16,1,623,559.44,0.898,0.5066052218437195,0.4589584215799967
auto-diff,100,16,2,588,531.6,0.9041,0.11750356242656708,0.4791886694166395
auto-diff,100,16,3,731,660.13,0.9031,0.10881179487705231,0.44322817874484594
auto-diff,100,16,4,791,714.08,0.9028,0.10544357347488403,0.4335506298912896
auto-diff,100,16,5,640,577.24,0.9019,0.16852906002998352,0.4614017221238878
auto-diff,100,16,6,1108,1004.25,0.9064,0.10438784685134887,0.44122318670484756
auto-diff,100,16,7,619,559.84,0.9044,0.22925906748771668,0.47113990393744576
gradient,100,16,1,394,354.46,0.8996,0.12435620331764222,0.5588425398084852
gradient,100,16,2,482,432.12,0.8965,0.11411677780151368,0.4962952309502496
gradient,100,16,3,665,593.71,0.8928,0.10917043108940125,0.44053382614983455
gradient,100,16,4,439,391.94,0.8928,0.12015998058319091,0.5311750178019206
gradient,100,16,5,615,552.85,0.8989,0.10864380223751068,0.465745422744751
gradient,100,16,6,784,705.09,0.8993,0.10845735282897949,0.4588244302113851
gradient,100,16,7,414,368.43,0.8899,0.11330475692749023,0.48991591377258303
classic,500,32,1,2285,917.89,0.4017,0.2976892969608307,3.2958856804741754
classic,500,32,2,1927,778.63,0.4041,0.3104572402715683,3.2464994154188367
classic,500,32,3,3171,1276.57,0.4026,0.2595857377767563,2.7602565534803603
classic,500,32,4,2609,1053.09,0.4036,0.24623254134654998,2.8494075385199653
classic,500,32,5,1977,791.46,0.4003,0.32595667259693145,3.519580251397027
classic,500,32,6,2659,1070.84,0.4027,0.2616375226020813,2.9969416212293836
