Strategy,N_Train,Batch_Size,Repetition,Epochs_Run,Train_Time_s,Time_per_Epoch_s,MAE_Energy,MAE_Force
classic,100,16,1,539,346.08,0.6421,4.14936361694336,19.264969440104167
classic,100,16,2,98,64.41,0.6573,4.466275563812256,20.238469755859374
classic,100,16,3,90,60.18,0.6687,4.5165440956115726,20.46065853515625
classic,100,16,4,104,60.26,0.5794,4.4591951652526856,20.31796894205729
classic,100,16,5,94,53.07,0.5646,4.524732610321045,20.382573365885417
classic,100,16,6,107,63.91,0.5973,4.439129413604737,20.336553522135414
classic,100,16,7,102,66.35,0.6505,4.474491596984863,20.40322060221354
auto-diff,100,16,1,918,1065.2,1.1604,0.4885030198097229,1.4488100124104817
auto-diff,100,16,2,946,1062.86,1.1235,0.4788853281974792,1.439516552734375
auto-diff,100,16,3,950,1037.78,1.0924,0.4891019514083862,1.4459684246826172
auto-diff,100,16,4,886,968.3,1.0929,0.477987299156189,1.4145936503092449
auto-diff,100,16,5,787,858.24,1.0905,0.4445693177700042,1.3738846405029297
auto-diff,100,16,6,781,1034.52,1.3246,0.4737743189811707,1.4443745967610675
auto-diff,100,16,7,703,777.08,1.1054,0.4934094467163086,1.4610793528238932
gradient,100,16,1,719,783.2,1.0893,0.4899087738037109,1.4180158160400391
gradient,100,16,2,708,766.14,1.0821,0.4762418605804443,1.421333983968099
gradient,100,16,3,713,771.02,1.0814,0.4786077014923096,1.4143733685302735
gradient,100,16,4,792,860.44,1.0864,0.5421124877929687,1.4041365622965494
gradient,100,16,5,866,937.78,1.0829,0.4493287979125976,1.374327434285482
gradient,100,16,6,596,648.66,1.0884,0.5164623092651367,1.4339738346354167
gradient,100,16,7,677,736.01,1.0872,0.4758922256469726,1.4277929138183594
classic,500,32,1,313,164.74,0.5263,2.93922787399292,15.792624477539064
classic,500,32,2,222,115.03,0.5182,2.862621658325195,15.356495439453123
classic,500,32,3,315,163.7,0.5197,2.792520288848877,15.661133201497396
classic,500,32,4,306,158.48,0.5179,2.7647807243347167,15.18750076171875
classic,500,32,5,366,190.72,0.5211,2.6749368171691894,14.532966077473958
classic,500,32,6,244,126.45,0.5183,2.837310664367676,15.220425875651042
classic,500,32,7,242,125.14,0.5171,2.67775920791626,14.89197922688802
auto-diff,500,32,1,1058,1276.43,1.2065,0.3134584076881408,0.7971905666097006
auto-diff,500,32,2,1023,1256.66,1.2284,0.3144425329208374,0.7948359019978841
auto-diff,500,32,3,1209,1449.44,1.1989,0.3157091808319092,0.8190528513590495
auto-diff,500,32,4,935,1117.43,1.1951,0.3126819836139679,0.7928428057861329
auto-diff,500,32,5,878,1049.9,1.1958,0.3299234498023987,0.8238432277425131
auto-diff,500,32,6,997,1191.2,1.1948,0.3252882026195526,0.8211398727416992
auto-diff,500,32,7,1150,1376.77,1.1972,0.3266520944595337,0.830381706237793
gradient,500,32,1,917,1086.21,1.1845,0.3373199424743652,0.8103497251383464
